FID,created_at,created_by,system_cre,version,latitude,longitude,name,address_su,address_th,address__1,address_lo,address__2,address_ad,address_po,address_co,address_fu,time,building_n,room_numbe,open_after,student_ru,total_numb,takes_cash,takes_watc,takes_debi,takes_cred,drinks_ava,drinks_a_1,coffee_pri,coffee_p_1,coffee_p_2,tea_price_,chocolate_,can_of_pop,other_prod,other_pr_1,muffin_pri,chocolate1,atmosphere,photo_of_l,photo_of_1,photo_of_2
0,2016-09-26 14:02:18 UTC,hyren@uwaterloo.ca,2016-09-26 14:10:52 UTC,2,43.4719005,-80.54359926,Math Coffee & Donut Shop,200,University Ave W,3002,Waterloo,Waterloo,ON,N2L3G1,CA,200 University Ave W 3002 Waterloo Waterloo ON N2L3G1 CA,10:02,Mathematics and Computer,3002,yes,no,52.5,yes,no,yes,yes,"Coffee,Juice,Water,Milk,Pop/Soda,Tea,Energy Drinks", ,0.75,1.00,1.25,0.75,2.75,1.25,"Sandwiches/Wraps,Hot Food,Cookies,Muffins,Donuts,Chips/Snacks,Chocolate Bars,Candy,Salads", ,1.10,1.10,5,f8a89748-fe25-45a6-a8f4-f79da79d0098, ,https://web.fulcrumapp.com/photos/view?photos=f8a89748-fe25-45a6-a8f4-f79da79d0098
1,2016-09-26 13:49:22 UTC,nttorren@uwaterloo.ca,2016-09-26 14:13:06 UTC,1,43.46829626,-80.54276898,ES Coffee Shop,0,Ring Road,0,Waterloo, ,Ontario,N2L 3G1,Canada,Ring Road Waterloo Ontario N2L 3G1 Canada,9:49,EV 1,0,no,yes,39,yes,no,no,no,"Coffee,Tea,Pop/Soda,Milk",Hot Chocolate,1.00,1.00,1.00,0.75,0.00,2.00,"Cookies,Hot Food",Croissants,0.00,1.00,10,4e45ad0a-7319-4e35-adc8-53c9f9d0e704, ,https://web.fulcrumapp.com/photos/view?photos=4e45ad0a-7319-4e35-adc8-53c9f9d0e704
2,2016-09-26 14:03:32 UTC,nttorren@uwaterloo.ca,2016-09-26 14:13:06 UTC,1,43.4681875,-80.54345026,William's Fresh Café,0,Ring Road,0,Waterloo, ,Ontario,N2L 3G1,Canada,Ring Road Waterloo Ontario N2L 3G1 Canada,10:03,EV3,0, ,no,64,yes,yes,yes,no,"Coffee,Tea,Pop/Soda,Milk",Hot Chocolate,3.39,3.99,4.49,1.79,0.00,2.70,"Muffins,Cookies,Sandwiches/Wraps,Hot Food",Croissants,2.29,0.99,9,b33aa622-306e-446e-8a87-512068df11e0, ,https://web.fulcrumapp.com/photos/view?photos=b33aa622-306e-446e-8a87-512068df11e0
3,2016-09-26 14:09:22 UTC,sjluckhu@uwaterloo.ca,2016-09-26 14:17:23 UTC,3,43.4664105,-80.54500326,Common Ground,200,Westmount Rd N,0,Waterloo,Waterloo,ON,N2L 5H8,CA,200 Westmount Rd N Waterloo Waterloo ON N2L 5H8 CA,10:09,Conrad Grebel University College,0,yes,no,72,yes,no,no,no,Coffee, ,1.00,1.00,1.00,1.00,0.00,1.00,"Chips/Snacks,Chocolate Bars", ,1.00,1.00,6,"7e122991-5a81-4b26-a1e4-0c43658933ae,aec2c4c4-02d2-4f6f-a4ed-5244e5b813d3",",",https://web.fulcrumapp.com/photos/view?photos=7e122991-5a81-4b26-a1e4-0c43658933ae%2Caec2c4c4-02d2-4f6f-a4ed-5244e5b813d3
4,2016-09-26 13:55:32 UTC,sjluckhu@uwaterloo.ca,2016-09-26 14:17:50 UTC,3,43.4690695,-80.54565726,The Funcken Café,290,Westmount Rd N,0,Waterloo,Waterloo,ON,N2L 3G5,CA,290 Westmount Rd N Waterloo Waterloo ON N2L 3G5 CA,9:55,St. Jerome's,0,yes,no,60,yes,yes,yes,yes,"Coffee,Pop/Soda,Water,Tea", ,2.40,2.40,2.65,2.25,2.75,2.50, , ,2.25,2.00,7,"8e18a884-8fca-4b30-87d3-5230de9f028d,7b2c8bb3-da2c-4c2c-8d58-92ebe514d5f7",",",https://web.fulcrumapp.com/photos/view?photos=8e18a884-8fca-4b30-87d3-5230de9f028d%2C7b2c8bb3-da2c-4c2c-8d58-92ebe514d5f7
5,2016-09-26 14:14:24 UTC,nttorren@uwaterloo.ca,2016-09-26 14:19:59 UTC,1,43.4688435,-80.54193226,Arts Student Union,0, ,0, , , , , , ,10:14,AL,120, ,yes,35,yes,no,no,no,"Coffee,Tea,Pop/Soda,Water", ,0.50,0.50,0.50,0.50,0.00,1.00,"Chips/Snacks,Chocolate Bars,Candy", ,0.00,0.00,8,3b6d1a1c-8d8d-434f-a79a-d66489640bd7, ,https://web.fulcrumapp.com/photos/view?photos=3b6d1a1c-8d8d-434f-a79a-d66489640bd7
6,2016-09-26 14:23:29 UTC,sjluckhu@uwaterloo.ca,2016-09-26 14:27:26 UTC,4,43.4677965,-80.54630526,Watson's Eatery,190,Westmount Rd N,0,Waterloo,Waterloo,ON,N2L 3G5,CA,190 Westmount Rd N Waterloo Waterloo ON N2L 3G5 CA,10:23,St. Paul's University,0,yes, ,80,yes,yes,yes, ,"Tea,Coffee,Juice,Pop/Soda,Milk,Water", ,1.25,1.25,1.25,1.25,1.25,1.25, , ,1.25,1.25,7,"d99b4f95-24c0-421e-8701-6fe4709a7db9,c0a2e884-faf0-414e-a4cf-90b51a0d0529",",",https://web.fulcrumapp.com/photos/view?photos=d99b4f95-24c0-421e-8701-6fe4709a7db9%2Cc0a2e884-faf0-414e-a4cf-90b51a0d0529
7,2016-09-26 14:21:48 UTC,hyren@uwaterloo.ca,2016-09-26 14:29:25 UTC,1,43.4708355,-80.54349326,Starbucks,200,Ring rd,0,Waterloo,Waterloo,ON,N2L,CA,200 Ring rd Waterloo Waterloo ON N2L CA,10:21,STC,1024,yes,no,0,yes,yes,yes,yes,"Coffee,Juice,Tea,Milk,Water", ,3.95,4.45,4.95,3.95,0.00,0.00,"Cookies,Muffins,Sandwiches/Wraps", ,2.25,2.25,7,ab7028e0-8842-47ea-a148-9a779a3f7fa1, ,https://web.fulcrumapp.com/photos/view?photos=ab7028e0-8842-47ea-a148-9a779a3f7fa1
8,2016-09-26 14:28:46 UTC,sjluckhu@uwaterloo.ca,2016-09-26 14:45:27 UTC,2,43.4679187,-80.54635168,Watson's Mug,198,Glen Rd,0,Kitchener,Waterloo,ON,N2M 3G2,CA,198 Glen Rd Kitchener Waterloo ON N2M 3G2 CA,10:28,St. Paul's University,0,yes,no,0,yes,yes,yes,yes, , ,1.95,1.95,2.95,1.95,1.80,2.30, , ,0.00,1.00,7,"c645b535-f415-408b-8f5b-1bb5f21eb4ca,f32eb5a9-8cad-402b-83a0-333354c8cc30",",",https://web.fulcrumapp.com/photos/view?photos=c645b535-f415-408b-8f5b-1bb5f21eb4ca%2Cf32eb5a9-8cad-402b-83a0-333354c8cc30
9,2016-09-26 14:33:19 UTC,hyren@uwaterloo.ca,2016-09-26 14:46:26 UTC,1,43.4709455,-80.54307426,Science C & D,200,University Ave W,0,Waterloo,Waterloo,ON,N2L,CA,200 University Ave W Waterloo Waterloo ON N2L CA,10:33,STC,160,no, ,40,yes,yes,yes,yes,"Coffee,Tea,Juice,Pop/Soda,Milk,Water,Energy Drinks", ,0.75,1.00,1.25,1.00,1.50,0.75,"Candy,Chocolate Bars,Hot Food,Chips/Snacks,Donuts,Cookies,Muffins,Sandwiches/Wraps", ,1.00,1.00,3,"6f7aaffc-15df-4eed-acff-7e0578ded82e,f3fb6b13-1db2-43ab-bdd7-b6d11ffc58db",",",https://web.fulcrumapp.com/photos/view?photos=6f7aaffc-15df-4eed-acff-7e0578ded82e%2Cf3fb6b13-1db2-43ab-bdd7-b6d11ffc58db
